link,fileName,title,description,category,content
https://video.vnexpress.net/thoi-su/dac-cong-nguoi-nhai-tim-su-30-gan-hon-me-3421674.html,Đặc công người nhái tìm Su-30 gần hòn Mê.mp3,Đặc công người nhái tìm Su gần hòn Mê,Sau khi tàu cá QNGTS thông báo phát hiện vật thể lạ trôi ở phía bắc đảo Mê (Thanh Hóa) tại toạ độ o vĩ Bắc  o kinh Đông Biên phòng tỉnh này đã đi tìm dấu vết Chiến dịch tìm kiếm phi công Trần Quang Khải và máy bay Su đã sang ngày thứ tư với phạm vi rà soát từ biển Hải Phòng đến Hà Tĩnh nhưng chưa có kết quả,Thời sự,công tác tìm kiếm trên thực địa vẫn được tăng cường để nhanh chóng Tìm phi công Trần Quang Khải và máy bay su-30 mk2 tàu 886 của Quân chủng Hải quân tiếp tục resona để tìm kiếm máy bay dưới biển lực lượng đặc công người nhái có mặt trên tàu cảnh sát biển trong những ngày qua đã tổ chức nhiều cuộc loạn Tìm kiếm dưới đáy biển tuy nhiên vẫn chưa có kết quả sáng nay sở chỉ huy tiền phương đã có điện gửi Bộ 90 quân sự và bộ đội biên phòng 6 tỉnh miền Trung yêu cầu tiếp tục duy trì lực lượng phương tiện Tìm kiếm các ngành địa phương thông báo rộng rãi trên các phương tiện thông tin đại chúng đề các tàu ngư dân phối hợp Tìm kiếm phi công và máy bay trên biển chỉ huy các đơn vị theo dõi chặt chẽ các tàu tìm kiếm trên biển và bảo đảm an toàn đồng thời triển khai lực lượng tìm kiếm trên các đảo và xung quanh đảo cũng trong sáng nay sở chỉ huy tiền phương nhận được thông tin từ tàu png 97201 TS khi đi ngang qua đảo mê đã phát hiện thấy vật thể lạ trôi nổi tại tọa độ 19 độ 31 bị bắt 105 độ 51 nghìn đồng sở chỉ huy tiền phương yêu cầu Bộ đội Biên phòng Thanh Hóa báo cáo cụ thể và tập trung Tìm kiếm khu vực Bắc Hà Nội
https://video.vnexpress.net/cdv-dot-lua-khuay-dong-khong-khi-tran-viet-nam-indonesia-4828114.html,CĐV đốt lửa khuấy động không khí trận Việt Nam - Indonesia.mp3,CĐV đốt lửa khuấy động không khí trận Việt Nam  Indonesia,Hàng chục nghìn CĐV đổ về sân Việt Trì mang theo cờ chiêng trống đốt lửa khuấy động không khí cổ vũ đội tuyển gặp Indonesia vòng bảng ASEAN Cup ,Thời sự,đến đây là em cứ nghĩ là đến hơi sớm nhưng mà 8:00 đá nhưng mà tôi đã thấy là khán giả Không Khí đây rất là nhiệt tình rồi và người hâm mộ Thật sự là rất là náo nhiệt rất là tuyệt vời đội tuyển Việt Nam là vẫn thực hiện lối chơi là kiểm soát bóng áp đặt lối chơi lên phía Indonesia và hy vọng là tỉ số giữa là 3-0 hôm nay mình đến sớm để mình chuẩn bị sẵn chỗ ngồi có sợ là đông quá hết chỗ ngồi mất khí ở đây rất là náo nhiệt mọi người rất là hào hứng đi xem trận bóng này và em mong là Việt Nam lần này sẽ thắng với tỷ số 3-0 Việt Nam sẽ Epson Indo ngay từ những phút đầu tiên mà đã tấn công chơi pressing luôn mà Anh hi vọng Việt Nam sẽ thắng 3-1 Việt Nam sẽ thắng trong buổi tối ngày hôm nay 21 đội tuyển Việt Nam hiệp phụ được lặp lại
https://video.vnexpress.net/7-tiem-kich-luyen-tap-trinh-dien-tren-bau-troi-ha-noi-4820600.html,7 tiêm kích luyện tập trình diễn trên bầu trời Hà Nội.mp3, tiêm kích luyện tập trình diễn trên bầu trời Hà Nội, tiêm kích SuMK cùng nhiều trực thăng Mi luyện bay trình diễn trên bầu trời Hà Nội chuẩn bị cho Triển lãm Quốc phòng quốc tế Việt Nam  vào tháng ,Thời sự,khá là bất ngờ khi mà tầm bay thấp đến như vậy Nhìn máy bay rất là to với vận tốc nhanh như thế mà bay bốn máy bay bay xa nhau như thế là cũng rất là chuyên nghiệp đội hình ăn khớp rất là tốt khoảng cách xa nhau đến như vậy rất là đẹp có cảm giác rất là hào hùng chiến đấu mình chỉ được thấy trên tivi và màn hình hình ảnh thôi và qua các bài học thôi chứ còn chưa bao giờ thấy trực tiếp ở bên ngoài
https://video.vnexpress.net/nu-dac-cong-trinh-dien-tay-khong-ha-doi-thu-co-hung-khi-4828839.html,Nữ đặc công trình diễn tay không hạ đối thủ có hung khí.mp3,Nữ đặc công trình diễn tay không hạ đối thủ có hung khí,Các nữ đặc công trình diễn nhiều tiết mục đối luyện tay không hạ nhóm người mang hung khí tại buổi tổng duyệt Khai mạc Triển lãm Quốc phòng quốc tế,Thời sự,thế lực và cũng như thể là các kỹ thuật của chúng tôi sẽ không thể nào bằng tiếng Anh được cho nên là thời gian tập luyện của chúng tôi sẽ nhiều hơn phải tập luyện thêm ngoài giờ sẽ phải phối hợp với nhau đó là nhận diện và nó không thì cái vấn đề mà xảy ra chấn thương thì không thể tránh khỏi được tất cả hợp lý với nhau như vậy thì cái tinh thần và khí thế của mình sẽ đi lên rất là nhiều từ miền Nam ra ngoài miền Bắc thì đối với tôi cái thời tiết Đó là một vấn đề rất là lớn nắng mưa lạnh sức khỏe có đi xuống uống nhưng mà chúng tôi vẫn hàng ngày tập luyện không ngừng nghỉ võ cổ truyền này nó đòi hỏi rất nhiều yêu cầu về thân xác của thân pháp rồi nhãn pháp về cướp pháp đòi hỏi những cái động tác này phải mạnh mẽ và đối với đặc công thì nó lại đòi đặc biệt cao hơn nó phải đánh phải sát đòn sát thực tế chiến đấu các đồng chí nữ phải có một cái tinh thần và có một cái ý chí quyết tâm cao nhất mới thực hiện được các nội dung theo đúng kịch bản chương trình mà ban huấn luyện và ban tổ chức đã đưa ra và đặc biệt là kỷ luật nó phải cao để từ đó xác định được nhiệm vụ của mình từng động tác của mình từng nội dung của mình cho tốt bụng
https://video.vnexpress.net/nguoi-ha-noi-tam-song-hong-bat-chap-thoi-tiet-lanh-4828706.html#vn_source=Folder_Video&vn_campaign=Box-VideoNoiBat&vn_medium=Item-6&vn_term=Desktop&vn_thumb=1&vn_aid=1003834,Người Hà Nội tắm sông Hồng bất chấp thời tiết lạnh.mp3,Người Hà Nội tắm sông Hồng bất chấp thời tiết lạnh,Hàng chục người có mặt tại ven bờ sông Hồng từ sáng sớm tập thể dục bơi lội bất chấp thời tiết lạnh dưới  độ C thậm chí có ngày  độ C,Nhịp sống,Thế bây giờ thì bôi liên tục 10 độ 7 độ mới hết trời mưa bão hôm nào mà cũng không đi bơi một cô ở nhà người ốm đấy không lạnh khi mà bơi một vận động dưới nước rồi không có lạnh cả nó lên bờ nó khó quá thì nó sẽ bị lạnh thôi khoảng 179 Quảng Ninh Nhật Tân cả đánh thức mọi giác quan trong cơ thể từ khớp vai khớp chân khớp tay mắt mũi mồm tất cả đều cảm nhận cảm nhận cái cái oxy tươi mỗi ngày mà khỏi thiên nhiên ban tặng tôi bơi được 3 km số lượng lúc 6 giờ Bây giờ là hơn 7 giờ hơn 1 tiếng mỗi ngày nó ra sông là nó lại có một cái khác nhau nhé kiểu là hôm nay sóng này mai thì có thể là nước nó không có sóng không có gió nhưng mà nước thậm chí dòng chảy của sông Hồng Soái cuộn cả nước là sóng dưới sóng đánh rất là mạnh sợ chưa chứ em Sợ em có cái phao Đây là cái phao cứu sinh cho mình nhé Để khi nào mình mệt quá hay là chuột rút hay là có vấn đề gì trong sức khỏe mình trôi trôi về bờ hoặc là nhờ các bạn nên Nghiên cứu bộ quần áo chai nước một chai rượu với cả một đôi dép Tất nhiên mọi thứ đều có rủi ro thế Nhưng mà vấn đề là mình phải tự cảm nhận cơ thể mình hôm nay thế nào nếu dụng mà đau đầu chóng mặt thì không nên bơm không 9 độ 7 độ vẫn ra mua sức khỏe kiếm sức khỏe miễn phí giờ phút này chúng tôi vẫn đứng đây vẫn vui cười mà trong khi đó mọi người đang ở trong chăn ấm mà nhưng với chúng tôi tí nữa xuống nước bơi và tất khi lên rất sảng khoái và đầy sức khỏe không ai cho
https://video.vnexpress.net/tin-tuc/nhip-song/nhung-meo-vat-tu-muoi-4520550.html,Những mẹo vặt từ muối.mp3,Những mẹo vặt từ muối,Không chỉ là một loại gia vị muối còn có những công dụng khác giúp ích cho cuộc sống hàng ngày,Nhịp sống,
https://video.vnexpress.net/tin-tuc/nhip-song/4-meo-lam-sach-bon-rua-chen-4486694.html#vn_source=Detail_Video&vn_campaign=Box-Topic&vn_medium=Item-2&vn_term=Desktop&vn_thumb=1&vn_aid=4520550,4 mẹo làm sạch bồn rửa chén.mp3, mẹo làm sạch bồn rửa chén,Tương cà giấm baking soda bột mì là những nguyên liệu đơn giản có thể đánh bay các vết bẩn bám trên bồn rửa chén,Nhịp sống,
https://video.vnexpress.net/dan-doi-hang-nghin-con-tru-ngu-tai-chua-ven-song-hau-4825569.html#vn_source=Folder_Video&vn_campaign=Box-CuocSongMuonLoai&vn_medium=Item-1&vn_term=Desktop&vn_thumb=1&vn_aid=1003834,Đàn dơi hàng nghìn con trú ngụ tại chùa ven sông Hậu.mp3,Đàn dơi hàng nghìn con trú ngụ tại chùa ven sông Hậu,Hàng nghìn dơi quạ bay về chùa Hưng Long ở cù lao sông Hậu từ tháng  đến  âm lịch để trú ngụ trên các cây dầu sao sau đó lại bay đi,Nhịp sống,thơ về thì cách đây cũng gần 20 năm chung là từ tháng tư bắt đầu mới về Lê Giang tới tháng 7 tháng 8 là cao điểm là nó nhiều nhất Số lượng nhiều có mấy ngàn lần nó đeo là cây sau sau lưng là 10 con mà nó gần 10 cây vậy đó nhấn sao nó đeo hết lá đi rồi nó mới ra hàng Dầu Thuốc lá nó hơn Phước được nó nó cũng sợ người ta nó giống con chó con mà nó mở Nó hơi dài một chút thôi chứ hai lỗ tai hay nhỏ cũng đẹp lắm Nó có cái màu lông màu cam ngang cổ nữa đó không có phá chuối chín chiên chuột nhỏ nó ăn thôi chứ nó không có hạ thấp cái cánh nó xuống được khi nắng tháng nắng nó hết thức ăn rồi nó đi nó kiếm thức ăn thôi Nó đi dưới này 6 tháng thì nó về hang hoặc nó về núi đừng có nói có chỗ xanh lè tháng Tết tháng chạp là hết luôn nè Đâu có ai dám phá đâu các bài sáng ai cũng cầm điện thoại quay trơn đúng giờ nó cũng làm đẹp cho Mỹ Hòa Hưng Thịnh nó đẹp lắm nó bay một cái nó lột bóng dùm cái cảnh thiên nhiên nó thấy nó cũng tâm hồn nó thư giãn nó cũng nhẹ nhàng
https://video.vnexpress.net/tin-tuc/food/cach-lam-banh-cam-deo-4373558.html,Cách làm bánh cam dẻo.mp3,Cách làm bánh cam dẻo,Ngoài việc làm nước ép bạn có thể biến tấu quả cam để làm món bánh ăn vặt thơm ngon tại nhà,Đồ ăn,
https://video.vnexpress.net/gia-dinh-goi-gan-nghin-banh-u-banh-tet-moi-ngay-4751165.html,"Gia đình gói gần nghìn bánh ú, bánh tét mỗi ngày.mp3",Gia đình gói gần nghìn bánh ú bánh tét mỗi ngày,Gia đình ông Đặng Văn Quân ở quận  làm nghề gói bánh ú bánh tét hơn  năm qua mỗi ngày làm từ  đến hơn  cái,Đồ ăn,"gói từ năm 83 dài Chắc cũng khoảng gần 40 năm cả gia đình con cháu đồ sống của mình ngày nó cực mạnh qua nhiều công đoạn thủ công mà đâu có bằng máy móc được Nếu máy thì chế cái máy nấu nghệ mà phải biết làm hết chứ không phải là phân chia ra mày làm cái đó rồi mà chỉ làm tùm lum hết người nào không biết nói hai ba người một gói thì lên gối rồi thấy không giờ ở không có lá được luôn rồi nó buộc bánh luôn thằng cao nhất là nó nấu đậu xào nếp xong rồi nó vô nó buộc bánh phụ luôn xong cái bánh uống 5 cái bánh tét 76 cái không cần biết vừa cái tay biết đủ mà thiếu dư ngày thường vậy đó bỏ cho bằng hàng về là trung bình là 700 bánh ú Mở nhân chuối bánh chay dịp lễ đó mùng 5 tháng 5 thích nhất là 10.000 một cái bánh rồi bánh thập cẩm mà trọng lượng cao hơn nữa nó lên đến 3 4 0 , 0"
