link,fileName,title,description,category
https://video.vnexpress.net/thoi-su/dac-cong-nguoi-nhai-tim-su-30-gan-hon-me-3421674.html,Đặc công người nhái tìm Su-30 gần hòn Mê.mp3,Đặc công người nhái tìm Su-30 gần hòn Mê,"Sau khi tàu cá QNG-97201TS thông báo phát hiện vật thể lạ trôi ở phía bắc đảo Mê (Thanh Hóa) tại toạ độ 19o31 vĩ Bắc - 105o51 kinh Đông, Biên phòng tỉnh này đã đi tìm dấu vết. Chiến dịch tìm kiếm phi công Trần Quang Khải và máy bay Su-30 đã sang ngày thứ tư với phạm vi rà soát từ biển Hải Phòng đến Hà Tĩnh, nhưng chưa có kết quả.",Thời sự
https://video.vnexpress.net/cdv-dot-lua-khuay-dong-khong-khi-tran-viet-nam-indonesia-4828114.html,CĐV đốt lửa khuấy động không khí trận Việt Nam - Indonesia.mp3,CĐV đốt lửa khuấy động không khí trận Việt Nam - Indonesia,"Hàng chục nghìn CĐV đổ về sân Việt Trì, mang theo cờ, chiêng trống... đốt lửa khuấy động không khí, cổ vũ đội tuyển gặp Indonesia, vòng bảng ASEAN Cup 2024.",Thời sự
https://video.vnexpress.net/7-tiem-kich-luyen-tap-trinh-dien-tren-bau-troi-ha-noi-4820600.html,7 tiêm kích luyện tập trình diễn trên bầu trời Hà Nội.mp3,7 tiêm kích luyện tập trình diễn trên bầu trời Hà Nội,"7 tiêm kích Su-30MK2 cùng nhiều trực thăng Mi luyện bay trình diễn trên bầu trời Hà Nội, chuẩn bị cho Triển lãm Quốc phòng quốc tế Việt Nam 2024 vào tháng 12.",Thời sự
https://video.vnexpress.net/nu-dac-cong-trinh-dien-tay-khong-ha-doi-thu-co-hung-khi-4828839.html,Nữ đặc công trình diễn tay không hạ đối thủ có hung khí.mp3,Nữ đặc công trình diễn tay không hạ đối thủ có hung khí,"Các nữ đặc công trình diễn nhiều tiết mục đối luyện tay không hạ nhóm người mang hung khí, tại buổi tổng duyệt Khai mạc Triển lãm Quốc phòng quốc tế",Thời sự
https://video.vnexpress.net/nguoi-ha-noi-tam-song-hong-bat-chap-thoi-tiet-lanh-4828706.html#vn_source=Folder_Video&vn_campaign=Box-VideoNoiBat&vn_medium=Item-6&vn_term=Desktop&vn_thumb=1&vn_aid=1003834,Người Hà Nội tắm sông Hồng bất chấp thời tiết lạnh.mp3,Người Hà Nội tắm sông Hồng bất chấp thời tiết lạnh,"Hàng chục người có mặt tại ven bờ sông Hồng từ sáng sớm, tập thể dục, bơi lội bất chấp thời tiết lạnh dưới 13 độ C, thậm chí có ngày 7 độ C.",Nhịp sống
https://video.vnexpress.net/tin-tuc/nhip-song/nhung-meo-vat-tu-muoi-4520550.html,Những mẹo vặt từ muối.mp3,Những mẹo vặt từ muối,"Không chỉ là một loại gia vị, muối còn có những công dụng khác giúp ích cho cuộc sống hàng ngày.",Nhịp sống
https://video.vnexpress.net/tin-tuc/nhip-song/4-meo-lam-sach-bon-rua-chen-4486694.html#vn_source=Detail_Video&vn_campaign=Box-Topic&vn_medium=Item-2&vn_term=Desktop&vn_thumb=1&vn_aid=4520550,4 mẹo làm sạch bồn rửa chén.mp3,4 mẹo làm sạch bồn rửa chén,"Tương cà, giấm, baking soda, bột mì là những nguyên liệu đơn giản, có thể đánh bay các vết bẩn bám trên bồn rửa chén.",Nhịp sống
https://video.vnexpress.net/dan-doi-hang-nghin-con-tru-ngu-tai-chua-ven-song-hau-4825569.html#vn_source=Folder_Video&vn_campaign=Box-CuocSongMuonLoai&vn_medium=Item-1&vn_term=Desktop&vn_thumb=1&vn_aid=1003834,Đàn dơi hàng nghìn con trú ngụ tại chùa ven sông Hậu.mp3,Đàn dơi hàng nghìn con trú ngụ tại chùa ven sông Hậu,"Hàng nghìn dơi quạ bay về chùa Hưng Long ở cù lao sông Hậu từ tháng 7 đến 12 âm lịch để trú ngụ trên các cây dầu, sao, sau đó lại bay đi.",Nhịp sống
https://video.vnexpress.net/tin-tuc/food/cach-lam-banh-cam-deo-4373558.html,Cách làm bánh cam dẻo.mp3,Cách làm bánh cam dẻo,"Ngoài việc làm nước ép, bạn có thể biến tấu quả cam để làm món bánh ăn vặt thơm ngon tại nhà.",Đồ ăn
https://video.vnexpress.net/gia-dinh-goi-gan-nghin-banh-u-banh-tet-moi-ngay-4751165.html,"Gia đình gói gần nghìn bánh ú, bánh tét mỗi ngày.mp3","Gia đình gói gần nghìn bánh ú, bánh tét mỗi ngày","Gia đình ông Đặng Văn Quân ở quận 4 làm nghề gói bánh ú, bánh tét hơn 40 năm qua, mỗi ngày làm từ 700 đến hơn 1.000 cái.",Đồ ăn
https://video.vnexpress.net/banh-dap-hut-khach-o-quang-ngai-4731098.html,Bánh đập hút khách ở Quảng Ngãi.mp3,Bánh đập hút khách ở Quảng Ngãi,"Đây là món ăn truyền thống ở Quảng Ngãi, kết hợp giữa bánh tráng nướng và bánh ướt mới ra lò, bên trên phủ hẹ và hành phi ăn kèm cùng mắm nêm, thu hút nhiều người thưởng thức",Đồ ăn
https://video.vnexpress.net/chang-trai-ban-500-ly-tra-trai-cay-moi-ngay-4703610.html#vn_source=Detail_Video&vn_campaign=Box-InCategory&vn_medium=Item-14&vn_term=Desktop&vn_thumb=1&vn_aid=4731098,Chàng trai bán 500 ly trà trái cây mỗi ngày.mp3,Chàng trai bán 500 ly trà trái cây mỗi ngày,"Thời gian đầu khởi nghiệp, Trần Kiệt, 26 tuổi, liên tục đổ bỏ trái cây vì không có khách, đến nay mỗi tháng cửa hàng trà của anh tiêu thụ khoảng một tấn nguyên liệu.",Đồ ăn
https://video.vnexpress.net/phap-luat?_gl=1*zhzi2a*_gcl_au*MTIwNzc3NTI0Ny4xNzM0NjgyMjE4,Nghi phạm đốt quán hát khai mâu thuẫn từ tiền thuốc lá và lon bia.mp3,Nghi phạm đốt quán hát khai mâu thuẫn từ tiền thuốc lá và lon bia,"Cao Văn Hùng, 51 tuổi, khai quên mang ví để trả 50.000 đồng tiền thuốc lá và lon bia nên xảy ra xô xát với người ở quán hát, sau đó đi mua xăng gây án làm 11 người chết.",Pháp luật
https://video.vnexpress.net/canh-sat-no-sung-vay-bat-29-nguoi-da-ga-4828902.html,Cảnh sát nổ súng vây bắt 29 người đá gà.mp3,Cảnh sát nổ súng vây bắt 29 người đá gà,"Phát hiện nhóm người tụ tập đá gà ăn tiền tại bãi đất trống thuộc xã Bà Điểm, huyện Hóc Môn, công an nổ súng chỉ thiên, vây bắt 29 người.",Pháp luật
https://video.vnexpress.net/thanh-nien-boc-dau-xe-tren-cau-mong-sen-4829241.html,Thanh niên bốc đầu xe trên cầu Móng Sến.mp3,Thanh niên bốc đầu xe trên cầu Móng Sến,"Vàng Seo C, 23 tuổi ở huyện Bảo Thắng điều khiển chiếc BMW 1000cc, bốc đầu đi một bánh trên cầu Móng Sến, thị xã Sa Pa, sau đó đăng clip lên TikTok",Pháp luật
https://video.vnexpress.net/camera-ghi-canh-ten-cuop-tiem-vang-trong-5-giay-4827883.html,Camera ghi cảnh tên cướp tiệm vàng trong 5 giây.mp3,Camera ghi cảnh tên cướp tiệm vàng trong 5 giây,"Thành Nhân, 18 tuổi, cùng đồng bọn đến tiệm kim hoàn ở quốc lộ 1, TP Mỹ Tho, dùng búa đập vỡ kính cướp 8 dây chuyền vàng trong 5 giây rồi tẩu thoát.",Pháp luật
https://video.vnexpress.net/bao-thy-vui-thu-trong-trot-4801930.html,Bảo Thy vui thú trồng trọt.mp3,Bảo Thy vui thú trồng trọt,"Ca sĩ Bảo Thy tận dụng khoảng sân nhỏ quanh biệt thự 400 m2 của cô ở quận 7, TP HCM, để trồng rau, cây ăn trái.",Giải trí
https://video.vnexpress.net/hang-chuc-nghin-khan-gia-do-ve-san-my-dinh-xem-anh-trai-say-hi-4825789.html,Hàng chục nghìn khán giả đổ về sân Mỹ Đình xem 'Anh trai say hi'.mp3,Hàng chục nghìn khán giả đổ về sân Mỹ Đình xem 'Anh trai say hi',"Lượng lớn khán giả trẻ đổ về SVĐ Mỹ Đình xem đêm concert thứ hai ""Anh trai say hi"" trước giờ chương trình bắt đầu khiến nhiều tuyến đường bị ùn tắc.",Giải trí
https://video.vnexpress.net/trai-nghiem-xem-phim-ngoai-troi-ben-bo-song-sai-gon-4731672.html,Trải nghiệm xem phim ngoài trời bên bờ sông Sài Gòn.mp3,Trải nghiệm xem phim ngoài trời bên bờ sông Sài Gòn,"Nhiều người đổ về công viên bờ sông Sài Gòn phía Thủ Thiêm xem phim ngoài trời, hoạt động thuộc LHP quốc tế TP HCM, từ ngày 7 đến 12/4.",Giải trí
https://video.vnexpress.net/kaity-nguyen-dong-nguoi-vo-ngoai-tinh-4645525.html,Kaity Nguyễn đóng người vợ ngoại tình.mp3,Kaity Nguyễn đóng người vợ ngoại tình,"Kaity Nguyễn, 24 tuổi, đóng người vợ lẽ có mối tình vụng trộm khi làm dâu nhà quan trong phim cổ trang của Victor Vũ.",Giải trí
https://video.vnexpress.net/uav-lancet-tap-kich-phao-hang-trieu-usd-cua-ukraine-4827503.html,UAV Lancet tập kích pháo hàng triệu USD của Ukraine.mp3,UAV Lancet tập kích pháo hàng triệu USD của Ukraine,"Nga công bố video UAV Lancet tập kích pháo tự hành Bogdana và PzH 2000 của Ukraine, nhiều khả năng đã vô hiệu hóa cả hai tổ hợp.",Thế giới
https://video.vnexpress.net/khoanh-khac-ten-lua-nga-tap-kich-lien-tiep-3-xe-phong-himars-4821662.html,Khoảnh khắc tên lửa Nga 'tập kích liên tiếp 3 xe phóng HIMARS'.mp3,Khoảnh khắc tên lửa Nga 'tập kích liên tiếp 3 xe phóng HIMARS',Bộ Quốc phòng Nga công bố video các quả đạn Iskander-M tấn công vị trí tập kết loạt pháo phản lực HIMARS và bệ phóng tên lửa đạn đạo Ukraine.,Thế giới
